trade_time,open,high,low,close,vol,amount
2005-01-04,-1.8507901660692516,-1.8623091658813051,-1.8612739477199787,-1.8666914022132284,-0.9263078246622762,-0.9597088976735545
2005-01-05,-1.865297973052236,-1.8630226673032786,-1.8626275292278978,-1.8610808622183825,-0.9607051797476907,-0.9698309045961847
2005-01-06,-1.8572209315758936,-1.8673036758351165,-1.8660505286181157,-1.8725721746390191,-0.9698006738084617,-0.9742006567835361
2005-01-07,-1.8692078784802746,-1.867456568996968,-1.8672218972307382,-1.8711309350073158,-0.9591663003777569,-0.9713578958612381
2005-01-10,-1.8677931100688134,-1.8665646922195016,-1.8651915249688598,-1.859073421302795,-0.9791300810724461,-0.9769586820887944
2005-01-11,-1.855651824792273,-1.8588690697396493,-1.8516817403032835,-1.8528066025470837,-0.9801275640118988,-0.9773823120029873
2005-01-12,-1.85031428942176,-1.8612771370388084,-1.8519420444394221,-1.8536044316289197,-1.007940810288734,-0.9884485052304346
2005-01-13,-1.851844811612341,-1.8607802342627913,-1.8494431247324947,-1.8574906313501205,-0.9921534385636115,-0.9852246750744668
2005-01-14,-1.8541856102567587,-1.8514027870025738,-1.856015804169986,-1.8641563646467498,-0.9400761722258817,-0.9710163771842505
2005-01-17,-1.8711113850702406,-1.8768977217412905,-1.8795082524564644,-1.8866628656811215,-0.9528325066001403,-0.9700898157336304
2005-01-18,-1.8838057161803519,-1.8868994827457346,-1.8855342932080654,-1.8792507761466457,-0.9369394757979188,-0.9686297092036663
2005-01-19,-1.8769633816812852,-1.887574760877245,-1.880172028003617,-1.8873834854969733,-0.9512899861605608,-0.9754796721051802
2005-01-20,-1.888860297868573,-1.8955889107776214,-1.8911308321350377,-1.8949885981964094,-0.9393170602478067,-0.9677461521002716
2005-01-21,-1.8943907562042848,-1.864538857824971,-1.8946709683865186,-1.8605403973564936,-0.8114232639133662,-0.920774243708429
2005-01-24,-1.837825742807861,-1.8441531029114544,-1.852072196507491,-1.846951566543288,-0.842786893381543,-0.9290035048696338
2005-01-25,-1.847278968102625,-1.855683795534412,-1.8507576606199925,-1.8479424187900844,-0.9233274560282562,-0.9570657885766615
2005-01-26,-1.8458641996911636,-1.853288469332074,-1.8487403035649213,-1.8569115618552396,-0.9607999836732294,-0.9704960614136693
2005-01-27,-1.8574267160721063,-1.8664372812512924,-1.8652826314165083,-1.87358876330781,-0.9604099128195144,-0.9739307325325165
2005-01-28,-1.8730791993152733,-1.8803633000765883,-1.870996307204743,-1.8749013208295402,-0.9838768448862175,-0.9819566173332289
2005-01-31,-1.8753042441805714,-1.8847844606734574,-1.8785711575663666,-1.8838318592617036,-0.9754210561363588,-0.9786171072352396
2005-02-01,-1.882210886334705,-1.878719698586686,-1.8767099829929779,-1.8785301563307941,-0.9705244980367937,-0.975479796715345
2005-02-02,-1.8736065220868177,-1.8318706855760605,-1.8674691861600696,-1.823672972849075,-0.7989610394918825,-0.9097486926396265
2005-02-03,-1.8253500577249755,-1.8238183123852214,-1.832119884472493,-1.8391276942568968,-0.8212070562519085,-0.9177810512943984
2005-02-04,-1.8371183586021307,-1.8108351347246756,-1.8333693443259564,-1.807742127634351,-0.8140179854231472,-0.911360885370582
2005-02-16,-1.7980836119768129,-1.801151901140755,-1.79962091307563,-1.804422129197034,-0.8914234169615584,-0.943480490472928
2005-02-17,-1.79979419560158,-1.8117907169862468,-1.812545013434895,-1.8113323585026126,-0.9398120755761667,-0.9609704963807303
2005-02-18,-1.8091059440551975,-1.8195755271438459,-1.8203931831394637,-1.8291934353669397,-0.9436751824127707,-0.9648105669443029
2005-02-21,-1.8251185501667364,-1.8150269555787675,-1.818401856498006,-1.8062751515806528,-0.9161875906827429,-0.9536130125854299
2005-02-22,-1.8019677943428247,-1.794794093827102,-1.800649114413376,-1.789482136229106,-0.8363770454856281,-0.9218389871167563
2005-02-23,-1.7868940799952557,-1.7990113968748358,-1.7980851186724145,-1.8012694175026824,-0.8096610202335845,-0.9122750165636658
2005-02-24,-1.8009645949237887,-1.8098795524631046,-1.8013649507877565,-1.8019900373185342,-0.8771638652826798,-0.9370706927821718
2005-02-25,-1.7977620737014808,-1.7963102843487948,-1.7921762147820757,-1.8005101930538383,-0.8408392954367185,-0.9177202967778697
2005-02-28,-1.7973376431780426,-1.8092170154284153,-1.8083801472566827,-1.8128765438222956,-0.8985475610530879,-0.9435831636092321
2005-03-01,-1.810430681749566,-1.8184415695267813,-1.8098899112462847,-1.8162608833145992,-0.9552917258732038,-0.9655868031143812
2005-03-02,-1.813375972351608,-1.8137910691871353,-1.8205753960347606,-1.8296180863298523,-0.8609650867162929,-0.9255120455642911
2005-03-03,-1.8278966408656059,-1.8290421620818103,-1.8255862506554226,-1.82214165574039,-0.9498721128061387,-0.9670718940646409
2005-03-04,-1.8184820001638815,-1.8246082603881204,-1.8168660620947903,-1.8249726621598077,-0.9619928253120782,-0.9678852941413497
2005-03-07,-1.8216330752621366,-1.8259460755543198,-1.8150569483486294,-1.819555145329922,-0.9683225016184133,-0.9701259967402827
2005-03-08,-1.8111252044242834,-1.8114849306625438,-1.8097467439714088,-1.8032897266292667,-0.8845965815195017,-0.935680702110308
2005-03-09,-1.7975820122672947,-1.8068853947101817,-1.8052304672094095,-1.81222026506143,-0.8261853512607139,-0.9189072955878508
2005-03-10,-1.8095946822337023,-1.8213975039892414,-1.8273953644015832,-1.8352157581137014,-0.8732249084999073,-0.940632607539449
2005-03-11,-1.8328869148987603,-1.8364702215284228,-1.830297755519525,-1.8321659921073283,-0.9048698191053787,-0.9471843968094431
2005-03-14,-1.8297358398005052,-1.825576583746512,-1.8350222755904346,-1.8273918858273102,-0.8750661667938672,-0.9265264396985803
2005-03-15,-1.824616950457218,-1.8360115420428684,-1.8411784684101045,-1.8488174571379041,-0.9046680630125865,-0.9452349201262725
2005-03-16,-1.8474333064747845,-1.8577223710257638,-1.8542587512510524,-1.85929218088975,-0.9306397107085789,-0.9553280063525814
2005-03-17,-1.8550087482416089,-1.8639655084680284,-1.8584756782564926,-1.8671932624421255,-0.9449759970795212,-0.9620089144524774
2005-03-18,-1.8648478194667713,-1.8709603706227287,-1.8680548704663806,-1.87446380165563,-0.947702681842439,-0.9638996844507723
2005-03-21,-1.8721017229582635,-1.8764900066430201,-1.8687446764271471,-1.8717614773461857,-0.9712551280027811,-0.9757844562319264
2005-03-22,-1.869285047666354,-1.8798409151069295,-1.8853650955195753,-1.8911023984752087,-0.9201395123957489,-0.9586443537401826
2005-03-23,-1.8901335894388878,-1.8937924161258677,-1.8951265006247604,-1.898977743605589,-0.9262370449906608,-0.956231551156699
2005-03-24,-1.8973360468063272,-1.8981371301418108,-1.8979377852950536,-1.8909994527872298,-0.938271732972637,-0.9604846036571063
2005-03-25,-1.8885258980622273,-1.896124036844101,-1.8891264902867733,-1.8932642579227639,-0.9702213704816256,-0.976829478853893
2005-03-28,-1.8914068810092033,-1.9019212358976323,-1.8984323631537163,-1.8943709240685365,-0.9886504573350391,-0.9803703501430127
2005-03-29,-1.89131685029211,-1.8937287106417628,-1.8897512202135052,-1.8979997595697902,-0.9685105101211416,-0.9728264529013181
2005-03-30,-1.8971302623101145,-1.9082153377271807,-1.9052913771409596,-1.9136475041425722,-0.9481599253268119,-0.9662235759075328
2005-03-31,-1.9137859449723176,-1.9148024847836107,-1.913373820568053,-1.907097584744919,-0.9512101888865522,-0.9697634924003431
2005-04-01,-1.9048600424490982,-1.8654052524087956,-1.9041069933215309,-1.8720445779881278,-0.818447567833492,-0.9195231057226424
2005-04-04,-1.879599995539008,-1.8854852209986095,-1.8849095632813335,-1.890471856136338,-0.9075847979995292,-0.949625614364193
2005-04-05,-1.889992112597742,-1.8917538406345158,-1.8924063224021153,-1.8991064257155623,-0.926631811803358,-0.9563263194546293
2005-04-06,-1.8972202930272077,-1.882860555053494,-1.8972479793342873,-1.879804109219532,-0.879147363493636,-0.9356856794909847
2005-04-07,-1.87388947576911,-1.858002675155825,-1.8727143145032557,-1.8698569821185773,-0.7846610617313312,-0.8970636097836636
2005-04-08,-1.8670857258630824,-1.860372519164521,-1.8679247183983114,-1.852549238327137,-0.8983007509770174,-0.9417355455729194
2005-04-11,-1.8491181670375247,-1.8563845558595646,-1.8563411843401587,-1.8617500091902448,-0.8765099700087562,-0.9350592990398936
2005-04-12,-1.8618253596786496,-1.8708584418481613,-1.8692392542858098,-1.8777580636709528,-0.9541435979307503,-0.9680819755076242
2005-04-13,-1.8637545893306422,-1.8553143037266047,-1.857499537745974,-1.8556762135994935,-0.8683475425805303,-0.9360711735486603
2005-04-14,-1.8466101684899343,-1.856983387410149,-1.8594908643874315,-1.8680683007899455,-0.905910552507631,-0.9507580981891395
2005-04-15,-1.8699024011549918,-1.8812424357572337,-1.8730266794666215,-1.8795338767885874,-0.9390588845898519,-0.9602634595742663
2005-04-18,-1.8796514416630614,-1.889728006239985,-1.8883195474647447,-1.8933028625557562,-0.9403719495843821,-0.9606613014583149
2005-04-19,-1.891265404168057,-1.895334088841202,-1.889152520700387,-1.8894810038895418,-0.9406885184714195,-0.960247274140184
2005-04-20,-1.887278329553939,-1.8984556575623346,-1.9004627354155947,-1.9034301446106734,-0.9644132518805063,-0.9730838648631052
2005-04-21,-1.9033552433205443,-1.9050937690060485,-1.905408514002222,-1.9099543275863315,-0.9369112660153376,-0.9617618680919687
2005-04-22,-1.9083969634777513,-1.9092346254728567,-1.9034041721539574,-1.908191382679694,-0.9368520901264245,-0.9605957277499892
2005-04-25,-1.9074452101827684,-1.9164970506607968,-1.9138683984267157,-1.9134287445556173,-0.9264878364232595,-0.9634946833685067
2005-04-26,-1.9113679771418204,-1.9123689352908095,-1.9121373759213964,-1.9114341718510275,-0.9338510320499324,-0.9639820126689812
